tanggal_publis,nama,komentar,likeCount
2023-12-20T14:03:53Z,@classyclassyagnia,Jawa barat hadir siap mendukung mu pak AMIN,0.0
2023-12-20T13:07:31Z,@classyclassyagnia,"Saya dan keluarga besar kami akan selalu mendukung pasangan amin ,karna kami butuh sosok pemimpin sperti pasangan AMIN",0.0
2023-12-20T12:57:45Z,@classyclassyagnia,"Bismillah saya dan keluarga besar saya siap dukung pasangan AMIN,semoga lancar",0.0
2023-12-20T12:56:00Z,@febriyandi1824,"Program kerja AMIN sangat rasional, mengedepankan kepentingan rakyat sangat bagus sekali untuk kepentingan bangsa",0.0
2023-12-20T12:54:36Z,@classyclassyagnia,"Sangat sempurna pasangan AMIN pasangan capres yg saling melengkapi,dengan kecerdasan nya masing-masing",0.0
2023-12-20T12:54:34Z,@febriyandi1824,Anak muda harus pilih AMIN terlihat dari visi misinya yang selalu mementingkan generasi muda,0.0
2023-12-20T12:51:26Z,@kampangagain2325,"Ini adalah keputusan yang bijak dan penuh kesadaran dari keluarga besar kami siap untuk memilik dan mendukung pasangan Pak ANIES dan Pak AMIN sebagai calon presiden menujukkan kepercayaan yang tinggi terhadap integritas, komitmen dan viis misi mereka.",3.0
2023-12-20T12:50:26Z,@kampangagain2325,"Pasangan Pak ANIES dan Pak AMIN sebagai calon presiden dan calon wakil presiden adalah kombinasi yang sangat melengkapi satu sama lain. terlihat sinergi yang kuat antara kebijaksanaan dan keenergianan, visi progresif, dan kepedulian terhadap kebutuhan masyarakat",3.0
2023-12-20T12:49:29Z,@kampangagain2325,Anies Baswedan memiliki penampilan yang memukau dan penuh kekar. Kecerdasannya yang tercermin dalam wajahnya menambah pesona kepemimpinannya sebagai Gubernur Jakarta.,1.0
2023-12-20T12:39:55Z,@classyclassyagnia,"Sering liat jejak rekam nya pak anies Baswedan ketika jadi gubernur,masyaa allah luar biasa banget banyak perubahan gimana nanti kalo jadi presiden yah ,pasti lebih baik",1.0
2023-12-20T12:13:01Z,@meyamelia803,Bismillah saya dari jawa barat mendukung pasangan AMIN,0.0
2023-12-20T12:11:10Z,@meyamelia803,"Saya dan keluarga besar kami siap mendukung pasangan AMIN sampe jadi presiden, semoga allah mempermudahkan amin",0.0
2023-12-20T12:09:14Z,@meyamelia803,Saya dan keluarga besar kami siap mendukung pasangan AMIN sampe jadi presiden,1.0
2023-12-20T12:06:55Z,@meyamelia803,"AMIN adalah pasangan capres dan cawapres yg saling melengkapi sepenuh nya saya mendukung  sampe jadi presiden 2024 , amin",0.0
2023-12-20T12:06:49Z,@amandaputrie554,Kami segenap keluarga besar siap sedia dukung amin demi tercipta nya kesejahteraan yang merata.,0.0
2023-12-20T12:05:47Z,@meyamelia803,Amin terbaik pasangan AMIN  yg sangat cerdas yg selalu dihati masyarakat nya,0.0
2023-12-20T12:03:52Z,@meyamelia803,"Jejak rekam nya pak anies ketika jadi gubernur di jakarta, masya allah banyak perubahan nya dan satu lagi pak anis perduli terhadap masyarakat nya",0.0
2023-12-20T10:36:57Z,@DindaAuliya-ke1,"Yakin memilih AMIN, langkah yang positif untuk membawa perubahan dan kemajuan. Semoga pilihan ini memberikan dampak positif bagi kita semua",0.0
2023-12-20T10:31:21Z,@AGIYONO,untuk saat ini saya belum menentukan pilihan.mengapa mereka saling serang untuk meningkatkan value pribadi mereka padahal yang saya butuhkan sebagai calon pemilih adalah bagaimana pendekatan mereka pada masyarakat. bagaimana visi dan misi mereka mempunyai manfaat yang  langsung dirasakan masyarakat. dan kebijakan mereka nantinya membuat indonesia maju dan memakmurkan warga negara indonesia bukan oknum pejabat pemerintah apalagi asing,0.0
2023-12-20T08:31:18Z,@zchannel7493,Salut dengan anies bisa menjadj pemimpin jakarta yang jujur dan mensejhtrkan rkyat,0.0
2023-12-20T08:30:32Z,@zchannel7493,"Anies terlihat sangat siap menjadi presiden, apalgi saat memimpin jakarta ssngat baik sekali",0.0
2023-12-20T08:06:30Z,@remotcanggih9132,Anies Baswedan dan Cak Imin telah menunjukkan kinerja dan prestasi yang baik dalam jabatan atau tanggung jawab sebelumnya.,0.0
2023-12-20T08:05:35Z,@remotcanggih9132,"Pada umumnya, Anies Baswedan dan Cak Imin dikenal sebagai individu yang memiliki kecerdasan dan keahlian dalam memaparkan penjelasan terkait berbagai isu. Keduanya memiliki latar belakang dan pengalaman yang berbeda, namun mampu mengungkapkan ide dan gagasan mereka dengan jelas. Meskipun mungkin terdapat perbedaan pandangan, namun kemampuan mereka dalam menyampaikan argumentasi dan penjelasan yang konkret patut diapresiasi. Kepintaran mereka dalam berbicara menjadi salah satu faktor yang membuat mereka mampu menjadi pemimpin dan tokoh publik yang diperhitungkan dalam dunia politik dan masyarakat.",0.0
2023-12-20T08:04:33Z,@remotcanggih9132,"siapapun calon presiden dan wakil presidennya, kami tetap all in AMIN",0.0
2023-12-20T08:03:47Z,@remotcanggih9132,Anak muda yang memilih Anies mungkin melihat kinerja dan program kerjanya sebagai Gubernur DKI Jakarta yang memberikan dampak positif. Mereka bisa percaya bahwa visi dan misinya sejalan dengan kebutuhan dan harapan generasi muda.,1.0
2023-12-20T08:01:18Z,@remotcanggih9132,Program kerja Anies yang fokus pada penanganan banjir dan pembenahan lingkungan kota adalah langkah positif. Ini mencerminkan kesadaran akan isu-isu lingkungan yang semakin mendesak untuk diatasi demi keberlanjutan perkotaan.,0.0
2023-12-20T06:20:41Z,@amandaputrie554,"Orang nya kalem, penuh tata krama terhadap rakyat kecil sangat menghormati itu lah kenapa aku pilih pak anies.",0.0
2023-12-20T06:07:35Z,@amandaputrie554,"Pasangan no 1 amin dan pasangan nya adalah kandidat yang berpotensi tuk jadi pemenang di pilpres februari mendatang, mereka sangat kompak dan saling melengkapi satu sama lain, membuat semakin solid dlm pemilu 2024",0.0
2023-12-20T04:50:23Z,@dinarikaanggidesylia1408,"Pasangan AMIN memiliki tempat yang istimewa di hati rakyat, ditandai dengan dukungan yang kuat dari berbagai lapisan masyarakat. Semoga kebersamaan ini memberikan hasil yang positif dan kesejahteraan bagi semua",2.0
2023-12-20T03:00:13Z,@remotcanggih9132,Pasangan Anies dan Cak Imin mendapat dukungan setia dari banyak kalangan. Masyarakat melihat keduanya sebagai pemimpin yang peduli dan berkomitmen untuk memajukan kesejahteraan masyarakat. Kehadiran mereka dihati rakyat tercermin dalam dukungan yang kuat dari berbagai lapisan masyarakat.,0.0
2023-12-20T02:58:59Z,@remotcanggih9132,kami sepakat kalau Pak Anies Baswedan dan Cak Imin the next Presiden dan Wakil Presiden,0.0
2023-12-20T02:56:02Z,@johnmcgee577,"AMIN sudah sepatutnya dan wajar sekali menjadi Presiden dan wakil presiden 2024 karena cerdas, jelas, dan lebih siap program kerja visi dan misinya.",0.0
